"nazwa","matryca","jasność","czas_reakcji_matrycy","cena","liczba_opinii","ocena_klientów","status_opinii"
"Monitor LG UltraGear 27GN800-B","IPS","300","5","200","50","5","50-100 opinii"
"Monitor iiyama G-Master G2766HSU-B1 A","VA","250","8","250","100","4.5","50-100 opinii"
"Monitor Samsung C27R500FHR ","IPS","350","5","300","80","4.5","50-100
opinii"
"Monitor HP X24ih","TN","400","1","150","120","3.5","więcej niż 100 opinii"
"Monitor Lenovo L24e-30","IPS","300","5","250","70","4.5","50-100 opinii"
"Monitor AOC 25G3ZM/BK","VA","250","8","200","90","4","50-100 opinii"
"Monitor LG UltraGear 32GN600-B","IPS","350","5","350","150","5","więcej niż
100 opinii"
"Monitor Lenovo G27c-10","TN","400","1","100","200","4","więcej niż 100 opinii"
"Monitor Acer SA240YAbi","VA","250","8","300","110","4","więcej niż 100 opinii"
"Monitor Samsung Odyssey G3 S27AG32ANU","IPS","300","5","280","95","4.5","50-100
opinii"
"Monitor Samsung Odyssey G5 C27G55TQBU","TN","400","1","100","150","3.5","więcej niż 100 opinii"
"Monitor HP Omen X 25f 4WH47AA","IPS","300","5","300","20","4.5","mniej niż 50 opinii"
"Monitor Dell P3421WM","VA","200","8","350","50","4","50-100 opinii"
"Monitor LG UltraWide 29WP500-B","TN","400","1","200","70","3","50-100
opinii"
"Monitor Samsung C27G55TQWR","IPS","350","5","250","150","5","więcej niż 100 opinii"
